symbol,date,open,high,low,close,volume,percent_change,traded_amount
UPPER,2021-12-21,585.0,593.0,575.0,590.0,45200,2.61,26427078.4
UPPER,2021-12-22,600.0,649.0,596.0,649.0,251923,10.0,158254417.4
UPPER,2021-12-23,661.9,675.0,636.0,637.0,151904,-1.85,98281767.0
UPPER,2021-12-26,640.0,650.0,630.0,642.0,145788,0.78,93525227.6
UPPER,2021-12-27,643.0,650.0,616.1,617.0,125794,-3.89,79522847.0
UPPER,2021-12-28,617.0,625.0,606.0,624.0,64439,1.13,39617082.6
UPPER,2021-12-29,633.0,633.0,612.0,618.0,57495,-0.96,35461484.7
UPPER,2022-01-02,620.0,640.0,620.0,632.0,108017,2.27,68143849.6
UPPER,2022-01-03,635.0,642.0,628.0,630.0,119110,-0.32,75501569.2
UPPER,2022-01-04,631.1,662.0,626.4,655.0,160123,3.97,103853839.3
UPPER,2022-01-05,655.0,680.0,646.0,653.0,216456,-0.31,143517768.6
UPPER,2022-01-06,646.6,670.0,646.6,666.0,106841,1.99,70705067.3
UPPER,2022-01-09,674.0,700.0,670.0,693.9,292505,4.19,201577612.8
UPPER,2022-01-10,700.0,707.0,683.0,688.0,187670,-0.85,129727512.1
UPPER,2022-01-11,694.0,700.0,683.0,688.1,106463,0.01,73750825.7
UPPER,2022-01-12,690.0,726.0,686.1,700.0,320426,1.73,227206899.1
UPPER,2022-01-13,695.0,760.0,695.0,750.0,467073,7.14,343143245.7
UPPER,2022-01-16,764.0,780.1,741.0,750.0,390144,0.0,297406921.0
UPPER,2022-01-17,755.0,755.0,736.0,740.0,323041,-1.33,240979682.0
UPPER,2022-01-18,745.0,759.0,726.0,735.0,254354,-0.68,188076627.0
UPPER,2022-01-19,739.0,744.0,718.0,725.0,208919,-1.36,152110606.6
UPPER,2022-01-20,726.0,744.6,721.0,742.0,179294,2.34,131481652.5
UPPER,2022-01-23,745.0,753.5,732.0,734.0,179584,-1.08,132947651.6
UPPER,2022-01-24,730.0,730.0,698.0,704.0,285223,-4.09,202613565.8
UPPER,2022-01-25,704.0,720.0,692.0,707.0,174112,0.43,123326599.5
UPPER,2022-01-26,707.0,708.9,686.0,695.0,148123,-1.7,103168569.3
UPPER,2022-01-27,697.0,705.0,690.0,693.0,92441,-0.29,64459055.3
UPPER,2022-01-30,706.0,731.0,706.0,726.2,194945,4.79,141170341.7
UPPER,2022-01-31,740.0,758.0,721.3,740.0,429295,1.9,318278190.1
UPPER,2022-02-01,750.0,769.9,736.0,766.0,446461,3.51,340027219.9
UPPER,2022-02-03,781.3,781.3,747.0,750.9,311026,-1.97,238302173.2
UPPER,2022-02-06,740.0,768.0,738.1,744.0,300362,-0.92,223882896.8
UPPER,2022-02-07,746.0,758.0,737.0,747.0,179594,0.4,134586162.2
UPPER,2022-02-08,761.9,777.0,720.0,723.9,434928,-3.09,320800598.5
UPPER,2022-02-09,723.9,725.0,711.1,719.0,147342,-0.68,105557536.3
UPPER,2022-02-10,704.7,725.0,704.0,705.0,192947,-1.95,137013457.6
UPPER,2022-02-13,690.9,690.9,638.0,646.0,500474,-8.37,328408944.1
UPPER,2022-02-14,635.0,659.9,635.0,639.1,144770,-1.07,93371390.1
UPPER,2022-02-15,645.0,670.0,639.6,667.9,93445,4.51,60826616.8
UPPER,2022-02-16,664.0,677.0,648.0,651.3,110381,-2.49,72521738.7
UPPER,2022-02-17,651.0,662.5,645.0,652.0,71305,0.11,46616091.3
UPPER,2022-02-20,639.0,657.0,625.0,640.0,133964,-1.84,86429333.0
UPPER,2022-02-21,640.0,652.0,640.0,650.0,59236,1.56,38345090.4
UPPER,2022-02-22,659.0,660.0,646.0,649.0,93051,-0.15,60880264.5
UPPER,2022-02-23,650.0,660.0,645.0,651.0,73242,0.31,47813046.8
UPPER,2022-02-24,638.0,650.7,630.0,635.0,136037,-2.46,86912324.7
UPPER,2022-02-27,635.0,657.0,634.0,648.0,101292,2.05,65472844.8
UPPER,2022-02-28,660.9,670.0,630.0,635.0,203936,-2.01,131789000.4
UPPER,2022-03-02,647.7,647.7,610.0,612.0,146443,-3.62,89947582.8
UPPER,2022-03-06,615.0,620.0,601.0,608.0,78026,-0.65,47443114.8
UPPER,2022-03-07,608.9,615.0,600.4,601.0,69815,-1.15,42169524.0
UPPER,2022-03-09,600.0,608.0,585.1,587.1,74336,-2.31,43950750.4
UPPER,2022-03-10,595.0,614.9,580.0,611.9,99110,4.22,59237476.4
UPPER,2022-03-13,620.5,627.0,611.0,624.0,93478,1.98,58111682.8
UPPER,2022-03-14,626.0,630.0,613.0,617.0,37084,-1.12,22927869.3
UPPER,2022-03-15,617.0,624.0,600.8,604.0,102188,-2.11,62110835.2
UPPER,2022-03-16,616.0,616.0,597.2,597.3,68527,-1.11,41149761.2
UPPER,2022-03-20,608.0,615.0,600.0,601.5,44652,0.7,26940447.5
UPPER,2022-03-21,603.0,618.0,601.0,613.0,59206,1.91,35948073.9
UPPER,2022-03-22,613.0,624.9,613.0,618.0,62258,0.82,38634796.3
UPPER,2022-03-23,616.0,617.0,610.0,611.0,41292,-1.13,25267743.5
UPPER,2022-03-24,611.0,614.0,602.0,607.0,54307,-0.65,33048691.1
UPPER,2022-03-27,604.1,607.0,590.2,591.0,70884,-2.64,42434840.8
UPPER,2022-03-28,591.0,599.0,584.0,586.0,62385,-0.85,36697973.7
UPPER,2022-03-29,587.0,597.7,581.0,581.0,37124,-0.85,21814842.2
UPPER,2022-03-30,583.0,600.0,580.0,595.0,42500,2.41,25027474.3
UPPER,2022-03-31,603.0,603.0,584.0,585.0,34295,-1.68,20211316.7
UPPER,2022-04-03,589.0,590.0,575.1,581.0,27141,-0.68,15805039.3
UPPER,2022-04-04,581.0,585.0,575.0,578.0,29882,-0.52,17328445.8
UPPER,2022-04-05,573.0,575.0,560.0,567.0,69139,-1.9,39190284.1
UPPER,2022-04-06,560.1,569.0,555.0,559.0,51050,-1.41,28588881.9
UPPER,2022-04-07,556.0,573.0,556.0,564.5,55811,0.98,31612320.0
UPPER,2022-04-11,575.7,585.0,551.0,552.0,55234,-2.21,31292251.9
UPPER,2022-04-12,551.0,555.0,540.0,542.0,55281,-1.81,30050921.6
UPPER,2022-04-13,542.0,549.8,535.0,544.1,40604,0.39,22106808.7
UPPER,2022-04-17,540.2,562.0,535.5,537.0,43600,-1.3,23631329.9
UPPER,2022-04-18,537.0,537.2,519.0,519.0,68250,-3.35,35860947.4
UPPER,2022-04-19,520.0,526.0,507.0,520.0,46926,0.19,24312861.4
UPPER,2022-04-20,520.0,525.0,504.8,506.0,44722,-2.69,22905933.2
UPPER,2022-04-21,495.9,516.0,495.9,509.0,43494,0.59,21822755.6
UPPER,2022-04-24,518.0,555.0,508.0,550.0,63796,8.06,33770081.7
UPPER,2022-04-25,550.0,560.0,530.0,530.6,63638,-3.53,34493938.9
UPPER,2022-04-26,530.0,539.0,521.0,522.0,28507,-1.62,15107067.1
UPPER,2022-04-27,515.0,526.8,515.0,522.0,22682,0.0,11825844.0
UPPER,2022-04-28,525.0,532.4,517.5,521.0,35169,-0.19,18430968.3
UPPER,2022-05-02,525.0,525.0,501.0,508.0,52297,-2.5,26544912.8
UPPER,2022-05-04,508.1,515.0,500.0,501.0,39716,-1.38,19975585.5
UPPER,2022-05-05,498.0,501.0,490.0,492.0,55139,-1.8,27211590.9
UPPER,2022-05-08,484.0,510.0,484.0,499.0,36893,1.42,18186678.4
UPPER,2022-05-09,508.9,516.0,498.0,502.0,35162,0.6,17870772.6
UPPER,2022-05-10,495.0,522.2,495.0,518.0,33594,3.19,17283153.2
UPPER,2022-05-11,520.0,544.9,518.0,538.4,62583,3.94,33454202.3
UPPER,2022-05-12,544.0,544.9,525.0,531.0,46687,-1.37,25044885.4
UPPER,2022-05-17,521.0,521.0,495.0,497.0,103266,-6.4,51972061.9
UPPER,2022-05-18,495.0,509.5,488.2,503.0,51703,1.21,25782671.2
UPPER,2022-05-19,505.0,510.0,490.2,493.9,42783,-1.81,21348667.0
UPPER,2022-05-20,500.0,500.0,486.0,495.0,37034,0.22,18230657.5
UPPER,2022-05-23,491.0,495.0,481.0,482.0,49709,-2.63,24182891.7
UPPER,2022-05-24,490.0,510.0,483.0,508.9,92503,5.58,46314912.4
UPPER,2022-05-25,514.0,542.2,514.0,529.9,157167,4.13,83408747.9
UPPER,2022-05-26,540.4,540.4,524.0,532.0,53342,0.4,28323517.9
UPPER,2022-05-27,533.0,533.0,513.0,514.9,57851,-3.21,29972868.5
UPPER,2022-05-30,516.0,516.0,496.0,499.5,60657,-2.99,30391132.0
UPPER,2022-05-31,500.0,503.0,487.4,490.0,60682,-1.9,29998771.9
UPPER,2022-06-01,491.0,500.0,490.0,495.0,34561,1.02,17075805.2
UPPER,2022-06-02,500.0,504.0,491.1,491.5,44297,-0.71,22020485.3
UPPER,2022-06-03,492.0,495.0,485.0,488.5,47862,-0.61,23415784.7
UPPER,2022-06-06,494.0,504.0,488.2,488.2,50315,-0.06,24900511.3
UPPER,2022-06-07,488.2,495.0,478.6,479.9,40423,-1.7,19544002.0
UPPER,2022-06-08,479.9,498.9,479.9,494.0,48824,2.94,23940334.6
UPPER,2022-06-09,502.0,502.0,485.0,485.9,43896,-1.64,21659419.7
UPPER,2022-06-10,480.0,488.0,479.0,482.0,39001,-0.8,18776334.6
UPPER,2022-06-13,487.0,487.0,478.1,481.0,18367,-0.21,8827835.5
UPPER,2022-06-14,477.0,480.0,467.0,470.0,45418,-2.29,21433981.0
UPPER,2022-06-15,464.0,465.0,452.0,456.0,51795,-2.98,23661555.5
UPPER,2022-06-16,452.0,463.6,452.0,458.0,27851,0.44,12757808.4
UPPER,2022-06-17,463.0,465.0,453.0,453.0,25499,-1.09,11726572.6
UPPER,2022-06-19,445.0,454.0,433.6,434.0,45345,-4.19,20078130.6
UPPER,2022-06-20,425.4,433.0,403.5,411.0,76199,-5.3,31445520.3
UPPER,2022-06-21,402.8,429.9,402.8,427.0,44120,3.89,18545029.5
UPPER,2022-06-22,431.9,431.9,408.0,411.0,31374,-3.75,12971675.7
UPPER,2022-06-23,402.8,411.0,398.0,399.0,45200,-2.92,18135058.7
UPPER,2022-06-24,405.0,406.0,376.0,402.0,59523,0.75,23374063.4
UPPER,2022-06-26,409.8,434.0,403.0,434.0,82474,7.96,34541475.2
UPPER,2022-06-27,438.0,438.0,418.0,418.0,70576,-3.69,30256698.1
UPPER,2022-06-28,416.0,420.0,405.9,410.0,40660,-1.91,16763085.2
UPPER,2022-06-29,402.1,425.3,402.1,422.0,39718,2.93,16621519.9
UPPER,2022-06-30,430.4,439.0,417.0,439.0,68678,4.03,29784493.8
UPPER,2022-07-01,442.0,446.0,430.3,441.0,72771,0.46,32020208.2
UPPER,2022-07-03,440.0,485.1,439.1,485.1,98886,10.0,46746987.1
UPPER,2022-07-04,494.8,533.0,481.0,494.0,228554,1.83,116703127.8
UPPER,2022-07-05,487.0,510.0,477.3,487.0,173973,-1.42,85718130.0
UPPER,2022-07-06,487.0,515.0,476.5,509.0,175318,4.52,86921474.5
UPPER,2022-07-07,519.0,529.4,505.0,514.1,113066,1.0,58239632.0
UPPER,2022-07-08,514.0,519.0,502.0,503.5,53389,-2.06,27097364.2
UPPER,2022-07-11,499.0,500.0,480.3,482.0,171806,-4.27,84125122.5
UPPER,2022-07-12,491.6,509.0,483.8,487.0,81729,1.04,40181812.9
UPPER,2022-07-13,496.7,504.9,490.1,504.0,68270,3.49,34032565.1
UPPER,2022-07-14,507.0,545.0,503.0,540.0,270945,7.14,141381381.3
UPPER,2022-07-15,550.0,580.0,542.0,542.0,355232,0.37,197254864.9
UPPER,2022-07-17,543.0,543.0,522.0,523.1,114379,-3.49,60466143.8
UPPER,2022-07-18,523.0,528.6,509.9,526.0,108191,0.55,56204770.0
UPPER,2022-07-19,533.0,535.0,522.0,527.0,89096,0.19,47030530.8
UPPER,2022-07-20,535.0,535.0,515.0,518.0,68199,-1.71,35487211.8
UPPER,2022-07-21,508.0,523.0,508.0,522.0,74779,0.77,38677786.4
UPPER,2022-07-22,532.4,532.4,512.0,516.9,60209,-0.98,31043231.5
UPPER,2022-07-24,527.0,527.0,513.0,522.0,87781,0.99,45548427.3
UPPER,2022-07-25,528.0,538.0,520.0,538.0,199698,3.07,106031695.8
UPPER,2022-07-26,538.1,539.0,521.0,523.0,82090,-2.79,43383187.4
UPPER,2022-07-27,520.0,537.0,515.0,535.0,116409,2.29,61455576.0
UPPER,2022-07-28,542.0,569.9,533.0,541.0,257078,1.12,141780913.7
UPPER,2022-07-29,545.0,555.0,538.0,541.0,75320,0.0,40892054.9
